QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CITY,STATE,COUNTRY,DEALSIZE
22,100.0,2852.08,4/3/2004 0:00,Shipped,2,4,2004,Motorcycles,118,Philadelphia,PA,USA,Small
44,100.0,5756.52,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,118,Newark,NJ,USA,Medium
40,100.0,4472.0,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,118,Bridgewater,CT,USA,Medium
22,100.0,2904.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,Nantes,,France,Small
47,100.0,6484.59,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,118,Cambridge,MA,USA,Medium
39,96.34,3757.26,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,Nantes,,France,Medium
34,100.0,4043.96,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,118,White Plains,NY,USA,Medium
45,100.0,5566.5,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,118,Allentown,PA,USA,Medium
20,100.0,3176.0,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,118,NYC,NY,USA,Medium
40,68.92,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,Minato-ku,Tokyo,Japan,Small
26,51.15,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,Chatswood,NSW,Australia,Small
39,100.0,5288.01,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,118,South Brisbane,Queensland,Australia,Medium
50,44.51,2225.5,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,118,New Bedford,MA,USA,Small
45,100.0,5833.8,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles,118,Paris,,France,Medium
27,100.0,6065.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,193,NYC,NY,USA,Medium
46,100.0,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,Melbourne,Victoria,Australia,Large
31,100.0,7023.98,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,193,Paris,,France,Large
33,100.0,5176.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,193,Pasadena,CA,USA,Medium
22,100.0,4132.7,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,193,San Francisco,CA,USA,Medium
20,100.0,4183.0,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,193,Burlingame,CA,USA,Medium
41,100.0,8892.9,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,193,Lille,,France,Large
45,100.0,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,Bergen,,Norway,Large
49,100.0,8065.89,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,193,San Francisco,CA,USA,Large
34,100.0,6123.4,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,193,Osaka,Osaka,Japan,Medium
49,100.0,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,Melbourne,Victoria,Australia,Large
39,100.0,7023.9,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,193,NYC,NY,USA,Large
43,100.0,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,Newark,NJ,USA,Large
41,100.0,8336.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,193,Bridgewater,CT,USA,Large
36,100.0,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,Nantes,,France,Medium
27,100.0,5438.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,193,Cambridge,MA,USA,Medium
29,100.0,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,Helsinki,,Finland,Medium
20,100.0,4570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,193,White Plains,NY,USA,Medium
37,100.0,7667.14,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,193,Allentown,PA,USA,Large
26,100.0,5868.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,193,NYC,NY,USA,Medium
39,76.67,2990.13,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,193,Minato-ku,Tokyo,Japan,Small
22,100.0,3664.1,1/5/2005 0:00,Shipped,1,1,2005,Motorcycles,193,Burlingame,CA,USA,Medium
22,100.0,3834.38,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,193,South Brisbane,Queensland,Australia,Medium
21,86.77,1822.17,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,193,New Bedford,MA,USA,Small
66,100.0,11886.6,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,193,Liverpool,,UK,Large
50,100.0,7208.0,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars,136,Kobenhavn,,Denmark,Large
46,100.0,5004.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars,136,Salzburg,,Austria,Medium
33,100.0,4398.24,6/12/2003 0:00,Shipped,2,6,2003,Classic Cars,136,London,,UK,Medium
49,100.0,5597.76,8/10/2003 0:00,Shipped,3,8,2003,Classic Cars,136,New Bedford,MA,USA,Medium
32,100.0,4526.08,10/6/2003 0:00,Shipped,4,10,2003,Classic Cars,136,Helsinki,,Finland,Medium
24,100.0,3492.48,11/8/2003 0:00,Shipped,4,11,2003,Classic Cars,136,Toulouse,,France,Medium
26,100.0,3854.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,136,London,,UK,Medium
45,100.0,5324.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,136,Barcelona,,Spain,Medium
39,100.0,5197.92,1/9/2004 0:00,Shipped,1,1,2004,Classic Cars,136,Los Angeles,CA,USA,Medium
49,100.0,5997.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars,136,San Diego,CA,USA,Medium
27,100.0,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,136,Montreal,Quebec,Canada,Medium
30,100.0,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,136,Bruxelles,,Belgium,Medium
25,100.0,2992.0,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,136,Tsawassen,BC,Canada,Small
24,100.0,3427.2,9/10/2004 0:00,Shipped,3,9,2004,Classic Cars,136,Boston,MA,USA,Medium
22,100.0,2692.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,136,Philadelphia,PA,USA,Small
33,100.0,4128.96,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars,136,Cowes,Isle of Wight,UK,Medium
47,64.93,3051.71,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars,136,Stavern,,Norway,Medium
25,48.05,1201.25,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars,136,NYC,NY,USA,Small
26,75.47,1962.22,12/2/2004 0:00,Shipped,4,12,2004,Classic Cars,136,Madrid,,Spain,Small
48,54.68,2624.64,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,136,Reims,,France,Small
39,100.0,4046.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars,136,Oulu,,Finland,Medium
34,100.0,4846.7,2/23/2005 0:00,Shipped,1,2,2005,Classic Cars,136,San Francisco,CA,USA,Medium
32,100.0,3370.56,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars,136,Paris,,France,Medium
64,100.0,9661.44,4/1/2005 0:00,Shipped,2,4,2005,Classic Cars,136,San Jose,CA,USA,Large
42,100.0,5398.26,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,147,Stavern,,Norway,Medium
31,100.0,4305.28,4/1/2003 0:00,Shipped,2,4,2003,Classic Cars,147,Paris,,France,Medium
22,100.0,3347.74,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,147,Madrid,,Spain,Medium
26,100.0,3188.12,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,147,Burlingame,CA,USA,Medium
20,100.0,3191.2,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,147,Singapore,,Singapore,Medium
21,100.0,3536.82,10/21/2003 0:00,Resolved,4,10,2003,Classic Cars,147,Graz,,Austria,Medium
33,100.0,5362.83,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,147,London,,UK,Medium
28,100.0,3433.36,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,147,Philadelphia,PA,USA,Medium
26,100.0,4263.74,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,147,Lyon,,France,Medium
31,100.0,4076.19,12/9/2003 0:00,Shipped,4,12,2003,Classic Cars,147,Boston,MA,USA,Medium
48,100.0,7020.48,2/4/2004 0:00,Shipped,1,2,2004,Classic Cars,147,Singapore,,Singapore,Large
50,100.0,6426.5,3/11/2004 0:00,Shipped,1,3,2004,Classic Cars,147,San Rafael,CA,USA,Medium
28,100.0,4591.72,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars,147,New Haven,CT,USA,Medium
26,100.0,4033.38,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,147,Singapore,,Singapore,Medium
32,100.0,4302.08,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,147,Chatswood,NSW,Australia,Medium
44,100.0,7020.64,8/19/2004 0:00,Shipped,3,8,2004,Classic Cars,147,Allentown,PA,USA,Large
30,100.0,3855.9,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars,147,Boras,,Sweden,Medium
38,100.0,6680.78,10/13/2004 0:00,Shipped,4,10,2004,Classic Cars,147,Cambridge,MA,USA,Medium
40,100.0,6678.0,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,147,Vancouver,BC,Canada,Medium
46,61.99,2851.54,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars,147,Nashua,NH,USA,Small
27,100.0,4428.0,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,147,Melbourne,Victoria,Australia,Medium
43,100.0,5780.92,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars,147,San Rafael,CA,USA,Medium
35,65.63,2297.05,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,147,North Sydney,NSW,Australia,Small
37,100.0,6231.54,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,147,San Francisco,CA,USA,Medium
37,46.9,1735.3,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,147,North Sydney,NSW,Australia,Small
27,100.0,4427.73,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars,147,Montreal,Quebec,Canada,Medium
33,100.0,5265.15,3/3/2003 0:00,Shipped,1,3,2003,Classic Cars,194,Makati City,,Philippines,Medium
42,100.0,7599.9,5/8/2003 0:00,Shipped,2,5,2003,Classic Cars,194,Marseille,,France,Large
42,100.0,8008.56,7/2/2003 0:00,Shipped,3,7,2003,Classic Cars,194,San Rafael,CA,USA,Large
48,100.0,9245.76,9/5/2003 0:00,Shipped,3,9,2003,Classic Cars,194,Brickhaven,MA,USA,Large
41,100.0,8296.35,10/10/2003 0:00,Shipped,4,10,2003,Classic Cars,194,San Francisco,CA,USA,Large
30,100.0,5019.9,11/4/2003 0:00,Shipped,4,11,2003,Classic Cars,194,North Sydney,NSW,Australia,Medium
27,100.0,5411.07,11/12/2003 0:00,Shipped,4,11,2003,Classic Cars,194,Bergen,,Norway,Medium
21,100.0,3840.9,11/20/2003 0:00,Shipped,4,11,2003,Classic Cars,194,Koln,,Germany,Medium
20,100.0,3930.4,12/2/2003 0:00,Shipped,4,12,2003,Classic Cars,194,Madrid,,Spain,Medium
41,100.0,7498.9,1/15/2004 0:00,Shipped,1,1,2004,Classic Cars,194,Paris,,France,Large
27,100.0,4517.91,2/22/2004 0:00,Shipped,1,2,2004,Classic Cars,194,Gensve,,Switzerland,Medium
28,100.0,5774.72,4/9/2004 0:00,Shipped,2,4,2004,Classic Cars,194,Kobenhavn,,Denmark,Medium
44,100.0,9160.36,7/6/2004 0:00,Shipped,3,7,2004,Classic Cars,194,Reggio Emilia,,Italy,Large
50,100.0,9631.0,8/2/2004 0:00,Shipped,3,8,2004,Classic Cars,194,Brickhaven,MA,USA,Large
21,100.0,3432.24,8/30/2004 0:00,Shipped,3,8,2004,Classic Cars,194,Gensve,,Switzerland,Medium
33,100.0,5521.89,10/4/2003 0:00,Shipped,4,10,2003,Classic Cars,194,Frankfurt,,Germany,Medium
33,100.0,6934.62,10/16/2004 0:00,Shipped,4,10,2004,Classic Cars,194,Koln,,Germany,Medium
31,100.0,6876.11,11/3/2004 0:00,Shipped,4,11,2004,Classic Cars,194,Lule,,Sweden,Medium
41,71.47,2930.27,11/15/2004 0:00,Shipped,4,11,2004,Classic Cars,194,NYC,NY,USA,Small
45,79.65,3584.25,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,194,Salzburg,,Austria,Medium
33,85.39,2817.87,1/6/2005 0:00,Shipped,1,1,2005,Classic Cars,194,Espoo,,Finland,Small
45,76.0,3420.0,2/3/2005 0:00,Shipped,1,2,2005,Classic Cars,194,Nantes,,France,Medium
26,99.04,2575.04,3/3/2005 0:00,Shipped,1,3,2005,Classic Cars,194,Boras,,Sweden,Small
12,100.0,1961.28,5/17/2005 0:00,Shipped,2,5,2005,Classic Cars,194,Salzburg,,Austria,Small
41,100.0,8690.36,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars,207,Kobenhavn,,Denmark,Large
33,100.0,6034.38,4/16/2003 0:00,Shipped,2,4,2003,Classic Cars,207,Singapore,,Singapore,Medium
46,100.0,11279.2,6/3/2003 0:00,Shipped,2,6,2003,Classic Cars,207,NYC,NY,USA,Large
33,100.0,8023.29,8/8/2003 0:00,Shipped,3,8,2003,Classic Cars,207,San Rafael,CA,USA,Large
20,100.0,4904.0,9/28/2003 0:00,Shipped,3,9,2003,Classic Cars,207,Madrid,,Spain,Medium
44,100.0,8594.52,10/22/2003 0:00,Shipped,4,10,2003,Classic Cars,207,Singapore,,Singapore,Large
33,100.0,7474.5,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,207,Reggio Emilia,,Italy,Large
21,100.0,3883.74,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,207,New Bedford,MA,USA,Medium
47,100.0,8887.7,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,207,New Haven,CT,USA,Large
46,100.0,8602.92,1/2/2004 0:00,Shipped,1,1,2004,Classic Cars,207,Lyon,,France,Large
32,100.0,7181.44,2/12/2004 0:00,Shipped,1,2,2004,Classic Cars,207,Dublin,,Ireland,Large
42,100.0,8378.58,3/19/2004 0:00,Shipped,1,3,2004,Classic Cars,207,Madrid,,Spain,Large
44,100.0,10606.2,5/5/2004 0:00,Shipped,2,5,2004,Classic Cars,207,Espoo,,Finland,Large
35,100.0,5818.4,7/20/2004 0:00,Shipped,3,7,2004,Classic Cars,207,Allentown,PA,USA,Medium
41,100.0,7071.27,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,207,San Rafael,CA,USA,Large
46,100.0,8411.56,9/9/2004 0:00,Shipped,3,9,2004,Classic Cars,207,Torino,,Italy,Large
31,100.0,6570.76,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,207,Manchester,,UK,Medium
38,100.0,7975.44,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,207,Aaarhus,,Denmark,Large
42,64.0,2688.0,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars,207,Stavern,,Norway,Small
33,57.22,1888.26,11/20/2004 0:00,Shipped,4,11,2004,Classic Cars,207,Paris,,France,Small
48,52.36,2513.28,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars,207,Madrid,,Spain,Small
42,100.0,4764.48,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,207,Reims,,France,Medium
32,100.0,3560.64,1/23/2005 0:00,Shipped,1,1,2005,Classic Cars,207,San Rafael,CA,USA,Medium
34,100.0,3823.64,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,207,San Rafael,CA,USA,Medium
33,69.12,2280.96,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars,207,Paris,,France,Small
36,100.0,8677.8,5/5/2005 0:00,Shipped,2,5,2005,Classic Cars,207,Bridgewater,CT,USA,Large
27,100.0,3394.98,1/29/2003 0:00,Shipped,1,1,2003,Trucks and Buses,136,Stavern,,Norway,Medium
21,100.0,3415.44,3/26/2003 0:00,Shipped,1,3,2003,Trucks and Buses,136,San Rafael,CA,USA,Medium
21,100.0,2439.57,5/28/2003 0:00,Shipped,2,5,2003,Trucks and Buses,136,Madrid,,Spain,Small
38,100.0,4829.8,7/24/2003 0:00,Shipped,3,7,2003,Trucks and Buses,136,Burlingame,CA,USA,Medium
30,100.0,4100.1,9/19/2003 0:00,Shipped,3,9,2003,Trucks and Buses,136,Singapore,,Singapore,Medium
49,100.0,6563.06,10/21/2003 0:00,Resolved,4,10,2003,Trucks and Buses,136,Graz,,Austria,Medium
43,100.0,6817.22,11/6/2003 0:00,Shipped,4,11,2003,Trucks and Buses,136,South Brisbane,Queensland,Australia,Medium
41,100.0,6163.94,11/13/2003 0:00,Shipped,4,11,2003,Trucks and Buses,136,Philadelphia,PA,USA,Medium
38,100.0,4933.92,11/25/2003 0:00,Shipped,4,11,2003,Trucks and Buses,136,Lyon,,France,Medium
28,100.0,4056.36,12/5/2003 0:00,Shipped,4,12,2003,Trucks and Buses,136,Vancouver,BC,Canada,Medium
43,100.0,5759.42,2/2/2004 0:00,Shipped,1,2,2004,Trucks and Buses,136,Versailles,,France,Medium
25,100.0,3451.0,3/11/2004 0:00,Shipped,1,3,2004,Trucks and Buses,136,San Rafael,CA,USA,Medium
38,100.0,5920.4,5/4/2004 0:00,Shipped,2,5,2004,Trucks and Buses,136,New Haven,CT,USA,Medium
41,100.0,6668.24,6/15/2004 0:00,Shipped,2,6,2004,Trucks and Buses,136,Minato-ku,Tokyo,Japan,Medium
28,100.0,4094.72,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses,136,Chatswood,NSW,Australia,Medium
25,100.0,2938.5,8/19/2004 0:00,Shipped,3,8,2004,Trucks and Buses,136,Allentown,PA,USA,Small
41,100.0,6387.8,9/8/2004 0:00,Shipped,3,9,2004,Trucks and Buses,136,Boras,,Sweden,Medium
39,100.0,6396.0,10/11/2004 0:00,Shipped,4,10,2004,Trucks and Buses,136,Versailles,,France,Medium
21,100.0,2669.1,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,136,Vancouver,BC,Canada,Small
27,100.0,4784.13,11/4/2004 0:00,Shipped,4,11,2004,Trucks and Buses,136,Nashua,NH,USA,Medium
33,99.21,3273.93,11/18/2004 0:00,Shipped,4,11,2004,Trucks and Buses,136,San Francisco,CA,USA,Medium
29,100.0,3586.43,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,136,Melbourne,Victoria,Australia,Medium
49,100.0,5960.36,12/10/2004 0:00,Shipped,4,12,2004,Trucks and Buses,136,San Rafael,CA,USA,Medium
49,100.0,8470.14,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses,136,North Sydney,NSW,Australia,Large
20,100.0,2952.0,2/17/2005 0:00,Shipped,1,2,2005,Trucks and Buses,136,San Francisco,CA,USA,Small
39,63.2,2464.8,3/9/2005 0:00,Shipped,1,3,2005,Trucks and Buses,136,North Sydney,NSW,Australia,Small
40,100.0,6232.0,5/1/2005 0:00,Shipped,2,5,2005,Trucks and Buses,136,Montreal,Quebec,Canada,Medium
21,100.0,3036.6,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,150,NYC,NY,USA,Medium
50,100.0,8284.0,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles,150,Reims,,France,Large
20,100.0,2711.2,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,150,Paris,,France,Small
49,100.0,8339.8,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,150,Pasadena,CA,USA,Large
38,100.0,6238.84,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,150,San Francisco,CA,USA,Medium
35,100.0,4639.25,11/4/2003 0:00,Shipped,4,11,2003,Motorcycles,150,North Sydney,NSW,Australia,Medium
40,100.0,6747.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,150,Lille,,France,Medium
28,100.0,4512.48,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,150,Pasadena,CA,USA,Medium
